 			第七部
剌	入	R:七曷,R:十一陌	
前	平	P:一先	第七部
剐	上	S:二十一马	第十部
剑	去	Q:二十九艳,Q:三十陷	第十四部
剔	入	R:十二锡	第十七部
剖	上	S:七麌,S:二十五有	第十二部
剜	平	P:十四寒	第七部
剞	平上	P:四支,S:四纸	
剟	入	R:五物,R:七曷,R:九屑	
剡	上	S:二十八琰	第十四部
剥	入	R:三觉	第十六部
剧	入	R:十一陌	第十七部
剩	去	Q:二十五径	第十一部
剪	上	S:十六铣	第七部
剫	入	R:十药	
剬	平	P:十四寒	
剭	入	R:一屋	
副	去入	Q:七遇,Q:二十六宥,R:一屋,R:十三职	第四部,第十二部,第十五部
割	入	R:七曷	第十八部
剸	平上去	P:十四寒,P:一先,S:十六铣,Q:十七霰	
剽	平去	P:二萧,Q:十八啸	第八部
剿	平上去	P:三肴,S:十七筱,Q:十八啸	第八部
劂	入	R:六月	
劈	入	R:十二锡	第十七部
劓	去	Q:四寘	
劖	平	P:十五咸	
劘	平	P:四支,P:五歌	
劙	平	P:四支	
力	入	R:十三职	第十七部
劝	去	Q:十四愿	第七部
办	去	Q:十六谏	第七部
功	平	P:一东	第一部
加	平	P:六麻	第十部
务	去	Q:七遇	第四部
劢	去	Q:十卦	
劣	入	R:九屑	第十八部
动	上	S:一董	第一部
助	去	Q:六御	第四部
努	上	S:七麌	第四部
劫	入	R:十五合,R:十七洽	第十九部
劬	平	P:七虞	第四部
劭	平去	P:二萧,Q:十八啸	
励	去	Q:八霁	第三部
劲	去	Q:二十四敬	第十一部
劳	平去	P:四豪,Q:二十号	第八部
劻	平	P:七阳	
劼	入	R:四质,R:八黠	
劾	去入	Q:六御,Q:十一队,R:十三职	
势	去	Q:八霁	第三部
勀	入	R:十三职	
勃	入	R:六月	第十八部
勇	上	S:二肿	第一部
勉	上	S:十六铣	第七部
勋	平	P:十二文	第六部
勍	平	P:八庚	
勒	入	R:十三职	第十七部
勖	入	R:二沃	第十五部
勘	去	Q:二十八勘	第十四部
勚	去	Q:四寘	
募	去	Q:七遇	第四部
